TITLE,YEAR,RATING,REVIEWS,POPULARITY,CAST,DIRECTOR,GENRE,LANGUAGE
Anbe Sivam,2003,8.7,21000,11629,Kamal Haasan,Sundar C.,Comedy,Tamil
Golmaal,1979,8.5,19000,39634,Amol Palekar,Hrishikesh Mukherjee,Comedy,Hindi
Jai Bhim,2021,8.9,193000,898,Suriya,T.J. Gnanavel,Drama,Tamil
Nayakan,1987,8.6,20000,17539,Kamal Haasan,Mani Ratnam,Crime,Tamil
Pariyerum Perumal,2018,8.7,16000,17434,Kathir,Mari Selvaraj,Drama,Tamil
Rocketry: The Nambi Effect,2022,9.2,18000,70,Madhavan,Madhavan,Biopic,Tamil
3 Idiots,2009,8.4,391000,875,Aamir Khan,Rajkumar Hirani,Comedy,Hindi
Apur Sansar,1959,8.5,15000,14821,Soumitra Chatterjee],Satyajit Ray,Drama,Bengali
Manichitrathazhu,1993,8.7,11000,32603,Shobana,Fazil,Drama,Malayalam
Kumbalangi Nights,2019,8.5,15000,12316,Shane Nigam,Madhu C. Narayanan,Drama,Malayalam
Black Friday,2004,8.4,21000,18274,Kay Kay Menon,Anurag Kashyap,Action,Hindi
Like Stars on Earth,2007,8.3,190000,4046,Darsheel Safary,Aamir Khan,Biopic,Hindi
C/o Kancharapalem,2018,8.9,6900,29940,Radha Bessy,Venkatesh Maha,Anthology,Telugu
#Home,2021,8.8,13000,21532,Indrans,Rojin Thomas,Comedy,Malayalam
Soorarai Pottru,2020,8.7,112000,4200,Suriya,Sudha Kongara,Biopic,Tamil
Dangal,2016,8.3,186000,3322,Aamir Khan,Nitesh Tiwari,Biopic,Hindi
Kireedam,1989,8.9,7700,65762,Mohanlal,Sibi Malayil,Action,Tamil
Kaithi,2019,8.5,27000,1638,Karthi,Lokesh Kanagaraj,Action,Tamil
Jersey,2019,8.5,17000,9448,Nani,Gowtam Tinnanuri,Drama,Telugu
Thevar Magan,1992,8.7,7100,25631,Kamal Haasan,Bharathan,Action,Tamil
Asuran,2019,8.5,27000,6334,Dhanush,Vetrimaaran,Action,Tamil
96,2018,8.5,29000,6723,Vijay Sethupathi,C. Prem Kumar,Romance,Tamil
Visaaranai,2015,8.5,11000,22404,Dinesh,Vetrimaaran,Drama,Tamil
Pather Panchali,1955,8.3,32000,7706,Kanu Bannerjee,Satyajit Ray,Drama,Bengali
Thalapathi,1991,8.5,12000,34973,Rajinikanth,Mani Ratnam,Action,Tamil
Natsamrat,2016,8.8,6600,55557,Nana Patekar,Mahesh Manjrekar,Biopic,Marathi
Sarpatta Parambarai,2021,8.6,22000,13683,Arya,Pa. Ranjith,Biopic,Tamil
Drishyam 2,2021,8.4,35000,15289,Mohanlal,Jeethu Joseph,Crime,Malayalam
Thani Oruvan,2015,8.4,20000,25815,Jayam Ravi,Mohan Raja,Action,Tamil
Sardar Udham,2021,8.5,40000,5495,Vicky Kaushal,Shoojit Sircar,Biopic,Hindi
Aparajito,1956,8.3,14000,17056,Pinaki Sengupta,Satyajit Ray,Drama,Bengali
Vada Chennai,2018,8.4,17000,9114,Dhanush,Vetrimaaran,Thriller,Tamil
Jaane Bhi Do Yaaro,1983,8.3,14000,44497,Naseeruddin Shah,Kundan Shah,Dark Comedy,Hindi
Khosla Ka Ghosla!,2006,8.3,24000,37254,Anupam Kher,Dibakar Banerjee,Comedy,Hindi
Vikram,2022,8.5,38000,50,Kamal Haasan,Lokesh Kanagaraj,Action,Tamil
Drishyam,2013,8.3,41000,14373,Mohanlal,Jeethu Joseph,Action,Malayalam
Chupke Chupke,1975,8.3,13000,75737,Dharmendra,Hrishikesh Mukherjee,Comedy,Hindi
Peranbu,2018,8.7,15000,43414,Mammootty,Ram,Drama,Tamil
Agent Sai Srinivasa Athreya,2019,8.4,13000,20586,Naveen Polishetty,Swaroop Rsj,Thriller,Telugu
Anniyan,2005,8.3,18000,26567,Vikram,S. Shankar,Drama,Tamil
Mahanati,2018,8.5,13000,11165,Keerthy Suresh,Nag Ashwin,Biopic,Telugu
Bangalore Days,2014,8.3,20000,10982,Dulquer Salmaan,Anjali Menon,Drama,Malayalam
Satya,1998,8.3,15000,13430,J.D. Chakravarthi,Ram Gopal Varma,Action,Hindi
Super Deluxe,2019,8.3,14000,5759,Vijay Sethupathi,Thiagarajan Kumararaja,Anthology,Tamil
Premam,2015,8.3,21000,19048,Nivin Pauly,Alphonse Puthren,Romance,Malayalam
Ratsasan,2018,8.3,41000,7739,Vishnu Vishal,Ram Kumar,Thriller,Tamil
Gangs of Wasseypur,2012,8.2,95000,4565,Manoj Bajpayee,Anurag Kashyap,Action,Hindi
Devasuram,1993,8.7,5800,43251,Mohanlal,I.V. Sasi,Drama,Malayalam
Bhaag Milkha Bhaag,2013,8.2,67000,18682,Farhan Akhtar,Rakeysh Omprakash Mehra,Biopic,Hindi
Andhadhun,2018,8.2,91000,5797,Ayushmann Khurrana,Sriram Raghavan,Thriller,Hindi
Drishyam,2015,8.2,81000,6515,Ajay Devgn,Nishikant Kamat,Thriller,Hindi
Aruvi,2016,8.4,13000,32463,Aditi Balan,Arun Prabhu Purushothaman,Drama,Tamil
Kannathil Muthamittal,2002,8.4,8500,41225,Madhavan,Mani Ratnam,War-film,Tamil
Guide,1965,8.4,8100,36074,Dev Anand,Vijay Anand,Romance,English
Chithram,1988,8.7,5500,35937,Mohanlal,Priyadarshan,Comedy,Malayalam
Shahid,2012,8.2,17000,25143,Rajkummar Rao,Hansal Mehta,Drama,Hindi
Iruvar,1997,8.4,6100,39451,Mohanlal,Mani Ratnam,Drama,Tamil
Vikram Vedha,2017,8.2,39000,2901,Madhavan,Gayatri,Action,Tamil
Sairat,2016,8.3,13000,26771,Rinku Rajguru,Nagraj Manjule,Romance,Hindi
Zindage na milegi dobara,2011,8.1,77000,5372,Hrithik Roshan,Zoya Akhtar,Comedy,Hindi
Paan Singh Tomar,2012,8.2,36000,19903,Irrfan Khan,Tigmanshu Dhulia,Biopic,Hindi
Tumbbad,2018,8.2,43000,2986,Sohum Shah,Rahi Anil Barve,Horror,Hindi
Mudhalvan,1999,8.4,7700,55926,Arjun Sarja,S. Shankar,Action,Malayalam
Chhichhore,2019,8.2,51000,10312,Sushant Singh Rajput,Nitesh Tiwari,Drama,Hindi
777 Charlie,2022,9.1,13000,514,Rakshit Shetty,Kiranraj K,Drama,Kannada
Dhuruvangal Pathinaaru,2016,8.2,16000,24433,Rahman,Karthick Naren,Thriller,Tamil
Spadikam,1995,8.6,5800,43508,Chippy,Bhadran,Action,Malayalam
Swades,2004,8.1,90000,11799,Shah Rukh Khan,Ashutosh Gowariker,Drama,Hindi
Black,2005,8.1,35000,21037,Amitabh Bachchan,Sanjay Leela Bhansali,Drama,Hindi
Let's Go! India,2007,8.1,80000,16952,Shah Rukh Khan,Shimit Amin,Biopic,Hindi
Jo Jeeta Wohi Sikandar,1992,8.2,23000,39449,Aamir Khan,Mansoor Khan,Romance,Hindi
Papanasam,2015,8.4,7400,21224,Kamal Haasan,Jeethu Joseph,Crime,Tamil
Pudhu Pettai,2006,8.5,6500,34656,Dhanush,K. Selvaraghavan,Action,Tamil
Pyaasa,1957,8.3,6400,34976,Guru Dutt,Guru Dutt,Drama,Hindi
Mandela,2021,8.4,6900,19905,Yogi Babu,Madonne Ashwin,Drama,Tamil
Munna Bhai M.B.B.S.,2003,8.1,81000,15640,Sanjay Dutt,Rajkumar Hirani,Comedy,Hindi
PK,2014,8.1,182000,3358,Aamir Khan,Rajkumar Hirani,Comedy,Hindi
Soodhu Kavvum,2013,8.3,10000,47429,Vijay Sethupathi,Nalan Kumarasamy,Dark Comedy,Tamil
Article 15,2019,8.2,33000,9355,Ayushmann Khurrana,Anubhav Sinha,Biopic,Hindi
Uri: The Surgical Strike,2019,8.2,60000,9893,Vicky Kaushal,Aditya Dhar,War-film,Hindi
Queen,2013,8.1,65000,18708,Kangana Ranaut,Vikas Bahl,Comedy,Hindi
Talvar,2015,8.1,35000,10709,Irrfan Khan,Meghna Gulzar,Thriller,Hindi
Kaakkaa Muttai,2014,8.3,7000,26846,Ramesh,M. Manikandan,Comedy,Tamil
Lagaan: Once Upon A Time in India,2001,8.1,113000,7156,Aamir Khan,Ashutosh Gowariker,Drama,Hindi
OMG: Oh My God!,2012,8.1,58000,19495,Akshay Kumar,Umesh Shukla,Comedy,Hindi
Jigarthanda,2014,8.2,12000,29070,Siddharth,Karthik Subbaraj,Action,Tamil
Sarfarosh,1999,8.1,26000,25138,Aamir Khan,John Mathew Matthan,Drama,Hindi
Udaan,2010,8.1,45000,22140,Rajat Barmecha,Vikramaditya Motwane,Drama,Hindi
Barfi!,2012,8.1,81000,9038,Ranbir Kapoor,Anurag Basu,Romance,Hindi
Theeran Adhigaaram Ondru,2017,8.2,14000,10794,Karthi,H. Vinoth,Action,Tamil
Sholay,1975,8.1,55000,14041,Sanjeev Kumar,Ramesh Sippy,Action,Hindi
Hera Pheri,2000,8.1,66000,17834,Akshay Kumar,Priyadarshan,Action,Hindi
Ustad Hotel,2012,8.2,14000,31751,Dulquer Salmaan,Anwar Rasheed,Romance,Malayalam
The Legend of Bhagat Singh,2002,8.1,16000,35172,Ajay Devgn,Rajkumar Santoshi,Biopic,Hindi
Color It Yellow,2006,8.1,119000,9967,Aamir Khan,Rakeysh Omprakash Mehra,Comedy,Hindi
Angoor,1982,8.3,5400,37309,Sanjeev Kumar,Gulzar,Comedy,Hindi
Baasha,1995,8.3,10000,48713,Rajinikanth,Suresh Krishna,Action,Tamil
Baahubali 2: The Conclusion,2017,8.2,95000,3113,Prabhas,S.S. Rajamouli,Drama,Tamil
Masaan,2015,8.1,28000,11046,Richa Chadha,Neeraj Ghaywan,Romance,Hindi
Kahaani,2012,8.1,63000,22086,Vidya Balan,Sujoy Ghosh,Thriller,Hindi
Dil Chahta Hai,2001,8.1,72000,10208,Aamir Khan,Farhan Akhtar,Romance,Hindi
Maheshinte Prathikaaram,2016,8.3,8900,22968,Fahadh Faasil,Dileesh Pothan,Romance,Malayalam
A Wednesday,2008,8.1,78000,18936,Anupam Kher,Neeraj Pandey,Thriller,Hindi
Virumandi,2004,8.4,6400,25704,Kamal Haasan,Kamal Haasan,Action,Tamil
Roja,1992,8.1,13000,50019,Arvind Swamy,Mani Ratnam,Drama,Tamil
Iqbal,2005,8.1,17000,53918,Shreyas Talpade,Nagesh Kukunoor,Drama,Hindi
Nil Battey Sannata,2015,8.2,6900,22460,Swara Bhaskar,Ashwiny Iyer Tiwari,Comedy,Tamil
Pink,2016,8.1,45000,11775,Amitabh Bachchan,Aniruddha Roy Chowdhury,Drama,Hindi
Pithamagan,2003,8.3,6800,46821,Vikram,Bala,Action,Telugu
Carry On Munna Bhai,2006,8,47000,27457,Sanjay Dutt,Rajkumar Hirani,Comedy,Hindi
Kaun Pravin Tambe?,2022,8.5,9400,10287,Shreyas Talpade,Jayprad Desai,Biopic,Hindi
Shershaah,2021,8.4,118000,6122,Sidharth Malhotra,Vishnuvardhan,War-film,Hindi
Charulata,1964,8.1,6400,23377,Soumitra Chatterjee,Satyajit Ray,Horror,Hindi
Anand,1971,8.1,34000,26777,Rajesh Khanna,Hrishikesh Mukherjee,Romance,Hindi
Section 375,2019,8.1,16000,16687,Akshaye Khanna,Ajay Bahl,Thriller,Hindi
Alai Payuthey,2000,8.3,6500,38850,Madhavan,Mani Ratnam,Romance,Tamil
Jana Gana Mana,2022,8.3,9900,2178,Prithviraj Sukumaran,Dijo Jose Antony,Drama,Malayalam
Bajrang Bhaijaan,2015,8.1,86000,9687,Salman Khan,Kabir Khan,Drama,Hindi
